Trial,Direction,Start Frame,End Frame
1,Ambig/Other,0,18
1,Offscreen,19,42
1,Ambig/Other,43,56
1,Offscreen,57,160
2,Offscreen,0,85
2,Ambig/Other,86,111
2,Offscreen,112,159
3,Ambig/Other,0,9
3,Left,10,14
3,Right,15,23
3,Offscreen,24,88
3,Ambig/Other,89,100
3,Offscreen,101,124
3,Ambig/Other,125,134
3,Offscreen,135,158
4,Ambig/Other,0,9
4,Offscreen,10,121
4,Ambig/Other,122,129
4,Offscreen,130,157
5,Offscreen,0,17
5,Ambig/Other,18,44
5,Offscreen,45,159
6,Offscreen,0,30
6,Left,31,51
6,Offscreen,52,157
7,Offscreen,0,18
7,Ambig/Other,19,30
7,Offscreen,31,160
8,Offscreen,0,27
8,Left,28,35
8,Right,36,43
8,Offscreen,44,159
9,Ambig/Other,0,1
9,Offscreen,2,159
10,Offscreen,0,159
