Trial,Direction,Start Frame,End Frame
1,Offscreen,0,36
1,Ambig/Other,37,48
1,Offscreen,49,163
2,Ambig/Other,0,23
2,Offscreen,24,159
3,Right,0,4
3,Ambig/Other,5,45
3,Right,46,71
3,Left,72,88
3,Ambig/Other,89,141
3,Right,142,160
4,Ambig/Other,0,11
4,Right,12,31
4,Left,32,55
4,Ambig/Other,56,62
4,Offscreen,63,160
5,Centre,0,1
5,Offscreen,2,16
5,Left,17,23
5,Right,24,35
5,Ambig/Other,36,47
5,Right,48,143
5,Left,144,160
6,Offscreen,0,161
7,Ambig/Other,0,11
7,Left,12,16
7,Right,17,45
7,Ambig/Other,46,64
7,Right,65,79
7,Ambig/Other,80,141
7,Offscreen,142,160
8,Offscreen,0,158
9,Centre,0,6
9,Left,7,18
9,Ambig/Other,19,59
9,Offscreen,60,97
9,Right,98,114
9,Offscreen,115,157
10,Offscreen,0,157
