Trial,Direction,Start Frame,End Frame
1,Offscreen,0,8
1,Left,9,21
1,Right,22,54
1,Offscreen,55,158
2,Offscreen,0,8
2,Left,9,16
2,Ambig/Other,17,73
2,Right,74,107
2,Offscreen,108,157
3,Offscreen,0,21
3,Ambig/Other,22,33
3,Offscreen,34,136
3,Right,137,155
3,Left,156,160
4,Offscreen,0,33
4,Left,34,40
4,Right,41,43
4,Offscreen,44,158
5,Offscreen,0,95
5,Right,96,118
5,Left,119,151
5,Offscreen,152,158
6,Offscreen,0,4
6,Right,5,26
6,Left,27,33
6,Ambig/Other,34,47
6,Right,48,50
6,Offscreen,51,160
7,Ambig/Other,0,1
7,Offscreen,2,11
7,Ambig/Other,12,18
7,Offscreen,19,159
8,Offscreen,0,157
9,Offscreen,0,158
10,Offscreen,0,16
10,Right,17,26
10,Left,27,33
10,Right,34,40
10,Offscreen,41,69
10,Ambig/Other,70,78
10,Offscreen,79,158
